id, canNum, cantype, hasLanguage, title_English, title_Russian, title_Arabic, year, reelNum, reelsTotal, country, company, director, audioLang, subLang1, subLang2, dubbed, link1, link2, link3, notesGen, fullTrans, imageURL, albumURL
3401,272,35mm,russian,The Fountain,Фонтан,,0,2,11,,Sovexportfilm,,,,,,http://lh3.ggpht.com/-hwWf7qDomXI/TxDrp7owPQE/AAAAAAAAK3A/U8a53EEcgz0/s160-c/35mm272.jpg,,,,no,http://lh6.ggpht.com/-fbsGz37Kr0A/TxDrp7iu9FI/AAAAAAAAK3A/BGXvdb4MeQo/s1600/DSCN1966.JPG,
3402,1,Small 16mm,russian,Let's Get to Know Each Other. Lesson 25.,Давайте познакомимся. Урок 25.,,0,1,2,,Goskino USSR - Kopirfilm,,,,,,http://lh6.ggpht.com/-76p5L9RptzQ/TxB_gbW9GcE/AAAAAAAAJDg/Ughye2AL4UM/s160-c/Small16mm1.jpg,,,,no,http://lh4.ggpht.com/-bx-O23-7S5I/TSrPiKyVuFI/AAAAAAAAJDg/AZ-hEOSkaNQ/s1600/DSCN3040.JPG,
3403,2,Small 16mm,russian,We speak Russian: Lesson 3 (In the Store),Мы говорим по русски урок 3 (в магазине),,0,1,2,,Госкино СССР,,,,,,http://lh6.ggpht.com/-0mXHkJ8SpTM/TxB_jLRSLUE/AAAAAAAAK2k/FCqAFoGJ_YU/s160-c/Small16mm2.jpg,,,,yes,http://lh5.ggpht.com/-1lotLiEZ2HY/TSrPpz-rl7I/AAAAAAAAK2k/1DSkrhoGayI/s1600/DSCN3041.JPG,
3404,3,Small 16mm,russian,Let's Meet. Lesson 25. First time in Baku.,Давайте Познакомимся: Урок 6,,0,1,2,,Госкино СССР,,,,,,http://lh5.ggpht.com/-qOHGpxdmCg8/TxB_sp9_UpE/AAAAAAAAJDw/KqY7sx0iq2o/s160-c/Small16mm3.jpg,,,,no,http://lh6.ggpht.com/-vox241JAsHI/TSrPyIAX-LI/AAAAAAAAJDw/d10cYBbd0ic/s1600/DSCN3042.JPG,
3405,4,Small 16mm,russian,Acquaintance,Знакомство,,0,1,1,,Госкино СССР,,,,,,http://lh6.ggpht.com/-LePByvWUne8/TxB_vM4WQJE/AAAAAAAAJD4/IYCcvfBP9ys/s160-c/Small16mm4.jpg,,,,yes,http://lh3.ggpht.com/-xswy_sg1HF4/TSrP45KBdfI/AAAAAAAAJD4/WkNc3Rnxyqw/s1600/DSCN3043.JPG,
3406,5,Small 16mm,russian,Over the Pass Pamir Country,за перевалом страна памир,,0,1,2,,,,,,,,http://lh5.ggpht.com/-d1KQ9RUjzQE/TxB_yDuJn4E/AAAAAAAAJEA/LMQ_Ll0uDNQ/s160-c/Small16mm5.jpg,,,,no,http://lh3.ggpht.com/-Z16RROWvNLQ/TSrQAFI8RaI/AAAAAAAAJEA/a44ZJSzvMAI/s1600/DSCN3045.JPG,
3407,6,Small 16mm,russian,We Speak Russian: Lesson 30 (Good Bye Moscow),Мы Говорим По Русски: Урок 30 (До Свидания Москва),,0,1,2,,,,,,,,http://lh6.ggpht.com/-gQzRbL2h9R0/TxB_0gb4NoE/AAAAAAAAJEI/Emm_Vwwjz2M/s160-c/Small16mm6.jpg,,,,yes,http://lh3.ggpht.com/-Rir89pLdUoI/TSrQH5C9JAI/AAAAAAAAJEI/CQxaMR85MK0/s1600/DSCN3046.JPG,
3408,7,Small 16mm,arabic,Flower of the Cities of Jerusalem,,زهرة المدائن القدس,0,0,0,,,,,,,,http://lh6.ggpht.com/-YsOMiuxNptk/TxB_29I_fGE/AAAAAAAAJEc/EqFm44Uo8ZE/s160-c/Small16mm7.jpg,,,,no,http://lh4.ggpht.com/-GU8IaDSGf0k/TSrQQLYxx2I/AAAAAAAAJEQ/e-DmT48nHrU/s1600/DSCN3047.JPG,
3409,8,Small 16mm,arabic,The Palestine Right,,,0,0,0,,,,,,,,http://lh6.ggpht.com/-DPNDuQf-2p4/TxCAM6LnP0E/AAAAAAAAJEk/J_GLnzhbPlA/s160-c/Small16mm8.jpg,,,,no,http://lh3.ggpht.com/-qBMVk1jPVRo/TSrQiPMotvI/AAAAAAAAJEk/fXN2ZEseCeE/s1600/DSCN3048.JPG,
3410,9,Small 16mm,arabic,,,,0,0,0,,,,,,,,http://lh5.ggpht.com/-X7RTq3nifEg/TxCAPm__N4E/AAAAAAAAJEs/36L-uuNc0t4/s160-c/Small16mm9.jpg,,,,no,http://lh5.ggpht.com/-TteNgeSFmfc/TSrRUb597YI/AAAAAAAAJEs/QEnZJ11fe7s/s1600/DSCN3049.JPG,
3411,10,Small 16mm,russian,At the Hotel (Russian version),В гостинице,,0,1,1,,,,,,,,http://lh6.ggpht.com/-lK5v3oz_TEs/TxCAR1pLhrE/AAAAAAAAJE0/OIDVAtyB3DY/s160-c/Small16mm10.jpg,,,,no,http://lh6.ggpht.com/-G1uXZ5jXp1c/TSrRbmP1wcI/AAAAAAAAJE0/Ps9Rc8Sg0-U/s1600/DSCN3050.JPG,
